time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1689953551480974000,-0.41202587890625,194.21938033383276,0.791216861222093,102.11485252243594,40.104840107390146,226.62938018124487,288.08780539050815,13.402493100534372,11.325869416005384,-88.22336901427482,0.3424619436264038
1689953552430987500,0.537987548828125,194.2142842029151,0.7615019458833404,115.06565691441055,40.10484059659525,226.62428405032722,300.95488058968425,7.6479533310589805,6.83915588447173,-88.2233666360543,0.11946729570627213
1689953553380955100,1.487955078125,194.21570389524135,0.8152859369898052,132.81799680887724,40.10483501855307,226.62570374265346,208.35481039568077,10.602459133768633,9.360296938347009,-88.2233681498328,0.08557351678609848
1689953554330019300,2.437019287109375,194.21570392604917,0.9115173881044074,-1,40.10483501855325,226.62570377346128,-1,10.602459133768633,9.360296938347009,-88.2233681498328,0.08557351678609848
1689953555280026400,3.3870263671875,194.22497760711207,1.075189080732584,143.7951132750437,40.10483273948841,226.63497745452418,152.6621939889242,23.702300926515104,20.411608857939388,-88.22336340010004,0.1782446652650833
1689953556230530300,4.3375302734375,194.22497763857245,1.2020979365917834,-1,40.104832739488586,226.63497748598456,-1,23.702300926515107,20.411608857939388,-88.22336340010004,0.1782446652650833
1689953557180542000,5.2875419921875,194.22852922603488,1.4139364246432413,-1,40.10483143790386,226.638529073447,-1,12.672078802180614,10.17996720194073,-88.22336237624349,0.1736426204442978
1689953558130479900,6.23747998046875,194.23130576871336,1.6423266484538046,-1,40.1048301386563,226.64130561612546,-1,9.05736894785279,6.847936676346852,-88.22336120498399,0.1733267456293106
1689953559080376000,7.1873759765625,194.23392345849425,1.7653714311080988,-1,40.104828259061875,226.64392330590636,-1,23.128766165233593,16.195562755444747,-88.22336066604619,0.18409018218517303
1689953560030389500,8.137389404296876,194.23739548120648,1.8569329656377995,-1,40.10482698018998,226.6473953286186,-1,29.274694977080074,19.050980089705053,-88.22335964943505,0.17178672552108765
1689953561012064500,9.119064453125,194.23739548120648,1.9216550813940134,-1,40.10482698018998,226.6473953286186,-1,32.34375510256987,19.691047700361047,-88.22335964943505,0
1689953562012079400,10.119079345703126,194.23739548120648,1.9276704742672186,-1,40.10482698018998,226.6473953286186,-1,16.81478099271334,9.299999788435597,-88.22335964943505,0
1689953563012092200,11.119092041015625,194.23739548120648,1.8652088524541313,-1,40.10482698018998,226.6473953286186,-1,12.72234704460304,6.823346776464493,-88.22335964943505,0
1689953564012107000,12.11910693359375,194.23739548120648,1.8382346667627136,-1,40.10482698018998,226.6473953286186,-1,13.133502194359117,6.8237134971855316,-88.22335964943505,0
1689953565012119600,13.11911962890625,194.24891170393676,1.722775967233208,-1,40.10481252701544,226.65891155134887,-1,13.149299434559559,6.813374411831294,-88.22334673609775,0.24551714956760406
1689953566012133000,14.119133056640624,194.24565045628697,1.6947483778918013,-1,40.10481105481442,226.65565030369908,-1,14.30142721595065,7.133176414078443,-88.22334128980015,0.2599877417087555
1689953567012157400,15.119157470703126,194.2408675821498,1.694964159401066,-1,40.10480898604737,226.6508674295619,-1,16.56502045964755,8.112499475025057,-88.22333852777888,0.2237236499786377
1689953568012160800,16.119160888671875,194.22792951322361,1.4763473085002534,180,40.104802767218565,226.63792936063572,177.52624570057523,13.783505259226004,6.867067591492687,-88.22334153584654,0.2472585290670395
1689953569012185000,17.11918505859375,194.2279295437038,1.6506064701027097,-1,40.104802767218736,226.6379293911159,-1,13.783505259226004,6.867067591492686,-88.22334153584654,0.2472585290670395
1689953570012190700,18.119190673828125,194.22096891195565,1.391253267761067,162.52421447504756,40.10481708402582,226.63096875936776,271.2219787314933,13.291532651053984,6.821132125094509,-88.22336424415207,0.35811880230903625
1689953571012202200,19.1192021484375,194.2209689449519,1.555468440316231,-1,40.104817084026,226.630968792364,-1,13.291532651053984,6.821132125094509,-88.22336424415207,0.35811880230903625
1689953572012281300,20.11928125,194.22251765895635,1.5039375784179925,-1,40.10481975182052,226.63251750636846,-1,17.174026307479416,8.936871045629406,-88.22338222883289,0.35811880230903625
1689953573012288000,21.1192880859375,194.23771913433663,1.1926193297273178,38.699297824117345,40.10483399233419,226.64771898174874,268.1279655670902,12.123642029710457,7.090679501364582,-88.22344382499514,1.1965945959091187
1689953574012289000,22.1192890625,194.18608605705984,0.9417026195481337,19.453733285121665,40.10483598898927,226.59608590447195,270.09155516606717,11.574978641302025,7.408901759698577,-88.22348603890033,1.8905876874923706
1689953575012290000,23.1192900390625,194.20479173139873,0.8658280650489069,18.585185131285375,40.10483703633785,226.61479157881084,272.3719026580033,11.158436371714325,7.566274504059744,-88.22351492062018,1.8905876874923706
1689953576012290000,24.1192900390625,194.18732522223806,0.8065482061550594,16.550999352025748,40.10484121866361,226.59732506965017,274.23942875691483,10.530605604530324,7.575700626552481,-88.22354810004762,1.9547734260559082
1689953577012317400,25.1193173828125,194.26248713314558,0.7726759278047707,14.037761505526829,40.10484237269788,226.6724869805577,272.0172833697929,10.011114543823767,7.394514772494761,-88.2235839811102,2.2877683639526367
1689953578012317700,26.119317626953126,194.24974604380677,0.7651529518834636,13.6233598793622,40.104838092085785,226.65974589121888,272.3973168628818,9.813021263515882,12.087857068504734,-88.22361675919926,2.3612289428710938
1689953579012317200,27.119317138671875,194.23042181538912,0.7471437960370665,12.984170146533346,40.104835971005144,226.64042166280123,273.76518676199294,9.56591999441755,12.709831176838298,-88.22365169367382,2.3612289428710938
