time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed,t
1689953553380955100,1.487955078125,194.21570389524132,0.8152859369898052,132.81799680887724,40.10483501855307,226.62570374265343,208.3548103956808,10.602459133768631,9.360296938347007,-88.2233681498328,0.0855735167860984,0.0
1689953554330019300,2.437019287109375,194.2157039260492,0.9115173881044074,-1.0,40.10483501855325,226.62570377346128,-1.0,10.602459133768631,9.360296938347007,-88.2233681498328,0.0855735167860984,0.9490642089843753
1689953555280026400,3.3870263671875,194.22497760711207,1.075189080732584,143.7951132750437,40.10483273948841,226.63497745452415,152.6621939889242,23.702300926515104,20.411608857939388,-88.22336340010004,0.1782446652650833,1.8990712890625001
1689953556230530300,4.3375302734375,194.22497763857243,1.2020979365917834,-1.0,40.104832739488586,226.63497748598456,-1.0,23.702300926515107,20.411608857939388,-88.22336340010004,0.1782446652650833,2.8495751953125
1689953557180542000,5.2875419921875,194.22852922603488,1.413936424643241,-1.0,40.10483143790386,226.638529073447,-1.0,12.672078802180614,10.17996720194073,-88.22336237624349,0.1736426204442978,3.7995869140625
1689953558130479900,6.23747998046875,194.23130576871336,1.6423266484538046,-1.0,40.1048301386563,226.64130561612544,-1.0,9.05736894785279,6.847936676346852,-88.22336120498399,0.1733267456293106,4.74952490234375
1689953559080376000,7.1873759765625,194.23392345849425,1.7653714311080988,-1.0,40.10482825906188,226.6439233059064,-1.0,23.128766165233596,16.195562755444747,-88.22336066604619,0.184090182185173,5.699420898437499
1689953560030389500,8.137389404296876,194.23739548120648,1.8569329656377995,-1.0,40.10482698018998,226.6473953286186,-1.0,29.274694977080078,19.050980089705053,-88.22335964943505,0.1717867255210876,6.649434326171876
1689953561012064500,9.119064453125,194.23739548120648,1.9216550813940132,-1.0,40.10482698018998,226.6473953286186,-1.0,32.34375510256987,19.691047700361047,-88.22335964943505,0.0,7.631109375
1689953562012079400,10.119079345703126,194.23739548120648,1.9276704742672184,-1.0,40.10482698018998,226.6473953286186,-1.0,16.81478099271334,9.299999788435596,-88.22335964943505,0.0,8.631124267578127
1689953563012092200,11.119092041015625,194.23739548120648,1.8652088524541317,-1.0,40.10482698018998,226.6473953286186,-1.0,12.72234704460304,6.823346776464493,-88.22335964943505,0.0,9.631136962890626
1689953564012107000,12.11910693359375,194.23739548120648,1.8382346667627136,-1.0,40.10482698018998,226.6473953286186,-1.0,13.133502194359115,6.823713497185532,-88.22335964943505,0.0,10.631151855468751
1689953565012119600,13.11911962890625,194.2489117039368,1.722775967233208,-1.0,40.10481252701544,226.6589115513489,-1.0,13.14929943455956,6.813374411831294,-88.22334673609775,0.245517149567604,11.63116455078125
1689953566012133000,14.119133056640624,194.24565045628697,1.694748377891801,-1.0,40.10481105481442,226.65565030369908,-1.0,14.30142721595065,7.133176414078443,-88.22334128980015,0.2599877417087555,12.631177978515625
1689953567012157400,15.119157470703126,194.2408675821498,1.694964159401066,-1.0,40.10480898604737,226.6508674295619,-1.0,16.56502045964755,8.112499475025057,-88.22333852777888,0.2237236499786377,13.631202392578126
1689953568012160800,16.119160888671875,194.2279295132236,1.4763473085002534,180.0,40.104802767218565,226.63792936063567,177.52624570057523,13.783505259226004,6.867067591492687,-88.22334153584654,0.2472585290670395,14.631205810546875
1689953569012185000,17.11918505859375,194.2279295437038,1.6506064701027097,-1.0,40.104802767218736,226.6379293911159,-1.0,13.783505259226004,6.867067591492686,-88.22334153584654,0.2472585290670395,15.631229980468751
1689953570012190700,18.119190673828125,194.22096891195565,1.391253267761067,162.52421447504756,40.10481708402582,226.63096875936776,271.2219787314933,13.291532651053984,6.821132125094509,-88.22336424415207,0.3581188023090362,16.631235595703124
1689953571012202200,19.1192021484375,194.2209689449519,1.555468440316231,-1.0,40.104817084026,226.630968792364,-1.0,13.291532651053984,6.821132125094509,-88.22336424415207,0.3581188023090362,17.631247070312497
1689953572012281300,20.11928125,194.22251765895635,1.5039375784179925,-1.0,40.10481975182052,226.6325175063685,-1.0,17.174026307479416,8.936871045629406,-88.22338222883289,0.3581188023090362,18.631326171875
1689953573012288000,21.1192880859375,194.23771913433663,1.1926193297273178,38.69929782411735,40.10483399233419,226.64771898174877,268.1279655670902,12.123642029710457,7.090679501364582,-88.22344382499514,1.1965945959091189,19.6313330078125
1689953574012289000,22.1192890625,194.18608605705984,0.9417026195481336,19.453733285121665,40.10483598898927,226.59608590447195,270.0915551660672,11.574978641302025,7.408901759698577,-88.22348603890033,1.8905876874923704,20.631333984374997
1689953575012290000,23.1192900390625,194.20479173139876,0.8658280650489069,18.58518513128537,40.10483703633785,226.61479157881084,272.3719026580033,11.158436371714323,7.566274504059744,-88.22351492062018,1.8905876874923704,21.631334960937497
1689953576012290000,24.1192900390625,194.1873252222381,0.8065482061550594,16.550999352025748,40.10484121866361,226.59732506965017,274.23942875691483,10.530605604530324,7.575700626552481,-88.22354810004762,1.954773426055908,22.631334960937497
1689953577012317400,25.1193173828125,194.2624871331456,0.7726759278047707,14.037761505526827,40.10484237269788,226.6724869805577,272.0172833697929,10.011114543823767,7.394514772494761,-88.2235839811102,2.2877683639526367,23.6313623046875
1689953578012317700,26.119317626953126,194.2497460438068,0.7651529518834636,13.6233598793622,40.104838092085785,226.65974589121888,272.3973168628818,9.813021263515882,12.087857068504734,-88.22361675919926,2.3612289428710938,24.631362548828125
